Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Control_sites,GeDiPNet,37,GDP05362,Oral cavity carcinoma,,-2.9,5.2,4.1,5157,4,991,4,0.4,0.2,3621|5290|5728|8795,ING1|PIK3CA|PTEN|TNFRSF10B,0
Control_sites,KEGG Pathway,24,hsa04360,Axon guidance,,-2.8,2,3.4,5157,50,991,19,1.9,0.44,659|1946|2773|3983|4756|5058|5062|5290|5361|5532|5578|5594|8829|9353|9860|22885|23365|23380|56896,BMPR2|EFNA5|GNAI3|ABLIM1|NEO1|PAK1|PAK2|PIK3CA|PLXNA1|PPP3CB|PRKCA|MAPK1|NRP1|SLIT2|LRIG2|ABLIM3|ARHGEF12|SRGAP2|DPYSL5,0
Control_sites,GO Biological Processes,19,GO:0048286,lung alveolus development,19_GO:0032502 developmental process,-2.7,2.6,3.5,5157,20,991,10,1,0.32,659|1385|2355|4124|5154|10728|10905|23657|55151|171023,BMPR2|CREB1|FOSL2|MAN2A1|PDGFA|PTGES3|MAN1A2|SLC7A11|TMEM38B|ASXL1,0
Control_sites,WikiPathways,27,WP4659,Gastrin signaling pathway,,-2.7,1.9,3.3,5157,51,991,19,1.9,0.44,595|1385|1386|1994|4208|5054|5058|5290|5578|5588|5594|5601|6198|6654|6774|7082|7422|8649|9076,CCND1|CREB1|ATF2|ELAVL1|MEF2C|SERPINE1|PAK1|PIK3CA|PRKCA|PRKCQ|MAPK1|MAPK9|RPS6KB1|SOS1|STAT3|TJP1|VEGFA|LAMTOR3|CLDN1,0
Control_sites,GO Biological Processes,19,GO:0018210,peptidyl-threonine modification,19_GO:0008152 metabolic process,-2.6,2.3,3.3,5157,27,991,12,1.2,0.35,1386|1457|2590|5578|5594|7046|8445|8476|8658|27347|65125|204851,ATF2|CSNK2A1|GALNT2|PRKCA|MAPK1|TGFBR1|DYRK2|CDC42BPA|TNKS|STK39|WNK1|HIPK1,0
Control_sites,GO Biological Processes,19,GO:0018107,peptidyl-threonine phosphorylation,19_GO:0008152 metabolic process,-2.6,2.4,3.3,5157,24,991,11,1.1,0.33,1386|1457|5578|5594|7046|8445|8476|8658|27347|65125|204851,ATF2|CSNK2A1|PRKCA|MAPK1|TGFBR1|DYRK2|CDC42BPA|TNKS|STK39|WNK1|HIPK1,0
Control_sites,GO Biological Processes,19,GO:0007005,mitochondrion organization,19_GO:0009987 cellular process,-2.6,1.4,3,5157,184,991,51,5.1,0.7,664|858|1386|2055|3799|3954|4124|4137|4205|4698|4976|5366|5516|5819|7019|7156|8878|9804|9821|9868|10059|10087|10440|10730|23259|23287|23369|23761|25994|27069|28978|50484|51241|54832|54974|55186|55187|55471|55669|79145|80273|81631|84749|84902|87178|90624|90639|91137|134266|135154|139322,BNIP3|CAV2|ATF2|CLN8|KIF5B|LETM1|MAN2A1|MAPT|MEF2A|NDUFA5|OPA1|PMAIP1|PPP2CB|NECTIN2|TFAM|TOP3A|SQSTM1|TOMM20|RB1CC1|TOMM70|DNM1L|CERT1|TIMM17A|YME1L1|DDHD2|AGTPBP1|PUM2|PISD|HIGD1A|GHITM|TMEM14A|RRM2B|COX16|VPS13C|THG1L|SLC25A36|VPS13D|NDUFAF7|MFN1|CHCHD7|GRPEL1|MAP1LC3B|USP30|CEP89|PNPT1|LYRM7|COX19|SLC25A46|GRPEL2|SDHAF4|APOOL,0
Control_sites,GO Biological Processes,19,GO:0090288,negative regulation of cellular response to growth factor stimulus,19_GO:0048519 negative regulation of biological process,-2.5,2.2,3.2,5157,31,991,13,1.3,0.36,4734|4851|5494|6498|7321|7323|8573|8837|9353|51592|57154|64750|91851,NEDD4|NOTCH1|PPM1A|SKIL|UBE2D1|UBE2D3|CASK|CFLAR|SLIT2|TRIM33|SMURF1|SMURF2|CHRDL1,0
Control_sites,WikiPathways,27,WP4224,Purine metabolism and related disorders,,-2.5,3,3.4,5157,12,991,7,0.71,0.27,159|316|2618|5631|10606|50484|55034,ADSS2|AOX1|GART|PRPS1|PAICS|RRM2B|MOCOS,0
Control_sites,GO Biological Processes,19,GO:0016567,protein ubiquitination,19_GO:0008152 metabolic process,-2.5,1.4,2.9,5157,265,991,69,7,0.81,865|996|997|3093|4734|5930|6045|6500|6921|7187|7321|7323|7326|7334|8315|8450|8451|8658|8924|9412|9604|9690|9730|10075|10116|10193|22838|22888|23008|23338|25820|25847|25853|25937|25948|26046|26268|26273|50862|51283|51444|51465|51592|51665|53339|54800|55148|55827|55884|56995|57092|57154|57534|57542|57674|64750|64795|79269|80124|80176|83892|89910|90268|91947|115294|130507|163859|197131|387921,CBFB|CDC27|CDC34|UBE2K|NEDD4|RBBP6|RNF2|SKP1|ELOC|TRAF3|UBE2D1|UBE2D3|UBE2G1|UBE2N|BRAP|CUL4B|CUL4A|TNKS|HERC2|MED21|RNF14|UBE3C|DCAF1|HUWE1|FEM1B|RNF41|RNF44|UBOX5|KLHDC10|JADE2|ARIH1|ANAPC13|DCAF12|WWTR1|KBTBD2|LTN1|FBXO9|FBXO3|RNF141|BFAR|RNF138|UBE2J1|TRIM33|ASB1|BTBD1|KLHL24|UBR7|DCAF6|WSB2|TULP4|PCNP|SMURF1|MIB1|KLHL42|RNF213|SMURF2|RMND5A|DCAF10|VCPIP1|SPSB1|KCTD10|UBE3B|OTULIN|ARRDC4|PCMTD1|UBR3|SDE2|UBR1|NHLRC3,0
Control_sites,GeDiPNet,37,GDP00576,Asthma,,-2.5,1.6,3,5157,117,991,35,3.5,0.59,861|1290|2113|2241|3832|4026|5089|5238|5578|5588|5728|6095|6726|6774|6777|6891|7187|7422|8924|9448|11127|23176|28982|50618|51088|55187|79718|80176|80762|81488|84168|89797|134430|221037|221895,RUNX1|COL5A2|ETS1|FER|KIF11|LPP|PBX2|PGM3|PRKCA|PRKCQ|PTEN|RORA|SRP9|STAT3|STAT5B|TAP2|TRAF3|VEGFA|HERC2|MAP4K4|KIF3A|SEPTIN8|FLVCR1|ITSN2|KLHL5|VPS13D|TBL1XR1|SPSB1|NDFIP1|POLR2M|ANTXR1|NAV2|WDR36|JMJD1C|JAZF1,0
Control_sites,GeDiPNet,37,GDP00447,Ankylosing Spondylitis,,-2.4,1.9,3.1,5157,46,991,17,1.7,0.41,831|1390|1788|2113|2768|4851|5588|6198|6774|8853|9180|23266|80762|201266|204851|221895|283635,CAST|CREM|DNMT3A|ETS1|GNA12|NOTCH1|PRKCQ|RPS6KB1|STAT3|ASAP2|OSMR|ADGRL2|NDFIP1|SLC39A11|HIPK1|JAZF1|FAM177A1,0
Control_sites,GO Biological Processes,19,GO:0006997,nucleus organization,19_GO:0009987 cellular process,-2.4,1.7,3,5157,81,991,26,2.6,0.51,2113|3021|3267|5578|5819|6733|7110|8467|9221|9631|11176|22927|23141|23353|25978|51280|51510|55706|55746|57132|79188|81929|84823|124491|137886|221035,ETS1|H3-3B|AGFG1|PRKCA|NECTIN2|SRPK2|TMF1|SMARCA5|NOLC1|NUP155|BAZ2A|HABP4|ANKLE2|SUN1|CHMP2B|GOLM1|CHMP5|NDC1|NUP133|CHMP1B|TMEM43|SEH1L|LMNB2|TMEM170A|UBXN2B|REEP3,0
Control_sites,GeDiPNet,37,GDP05315,Oligospermia,,-2.4,3.7,3.5,5157,7,991,5,0.5,0.23,2908|23405|53373|54014|84168,NR3C1|DICER1|TPCN1|BRWD1|ANTXR1,0
Control_sites,GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-2.4,1.3,2.8,5157,295,991,75,7.6,0.84,664|858|1182|1386|2054|2055|3954|4976|5286|5305|5359|5366|5537|5578|5584|5728|5819|6399|7905|8266|8417|8774|9145|9392|9631|9804|9868|10059|10075|10079|10087|10228|10243|10254|10802|10972|23074|23141|23200|23471|23603|23673|25978|27032|27069|27230|28978|28988|51012|51510|55161|55204|55207|57003|57132|57154|60684|64225|65125|79188|80006|80124|81555|84823|91137|91851|92154|94134|114882|124491|134429|137886|139322|221035|286410,BNIP3|CAV2|CLCN3|ATF2|STX2|CLN8|LETM1|OPA1|PIK3C2A|PIP4K2A|PLSCR1|PMAIP1|PPP6C|PRKCA|PRKCI|PTEN|NECTIN2|TRAPPC2|REEP5|UBL4A|STX7|NAPG|SYNGR1|TGFBRAP1|NUP155|TOMM20|TOMM70|DNM1L|HUWE1|ATP9A|CERT1|STX6|GPHN|STAM2|SEC24A|TMED10|BLTP3B|ANKLE2|ATP11B|TRAM1|CORO1C|STX12|CHMP2B|ATP2C1|GHITM|SERP1|TMEM14A|DBNL|PRELID3B|CHMP5|TMEM33|GOLPH3L|ARL8B|CCDC47|CHMP1B|SMURF1|TRAPPC11|ATL2|WNK1|TMEM43|TRAPPC13|VCPIP1|YIPF5|LMNB2|SLC25A46|CHRDL1|MTSS2|ARHGAP12|OSBPL8|TMEM170A|STARD4|UBXN2B|APOOL|REEP3|ATP11C,0
Control_sites,GO Biological Processes,19,GO:0051646,mitochondrion localization,19_GO:0051179 localization,-2.3,2.4,3.1,5157,22,991,10,1,0.32,3799|4137|4139|4205|4976|5819|10059|10128|23287|55669,KIF5B|MAPT|MARK1|MEF2A|OPA1|NECTIN2|DNM1L|LRPPRC|AGTPBP1|MFN1,0
Control_sites,GO Biological Processes,19,GO:1903035,negative regulation of response to wounding,19_GO:0048519 negative regulation of biological process,-2.3,2.4,3.1,5157,22,991,10,1,0.32,4756|5054|5154|5728|6558|6774|8573|9860|84959|135228,NEO1|SERPINE1|PDGFA|PTEN|SLC12A2|STAT3|CASK|LRIG2|UBASH3B|CD109,0
Control_sites,GeDiPNet,37,GDP05589,Paroxysmal atrial fibrillation,,-2.3,1.9,3,5157,47,991,17,1.7,0.41,858|2908|4137|5062|5523|7514|8451|9586|9948|11017|23353|58499|59345|64710|79591|89797|221035,CAV2|NR3C1|MAPT|PAK2|PPP2R3A|XPO1|CUL4A|CREB5|WDR1|SNRNP27|SUN1|ZNF462|GNB4|NUCKS1|ARMH3|NAV2|REEP3,0
Control_sites,GO Biological Processes,19,GO:0055006,cardiac cell development,19_GO:0032502 developmental process,-2.3,2.5,3.1,5157,19,991,9,0.91,0.3,3192|4205|4851|6416|6474|7422|10611|23363|80313,HNRNPU|MEF2A|NOTCH1|MAP2K4|SHOX2|VEGFA|PDLIM5|OBSL1|LRRC27,0
Control_sites,Reactome Gene Sets,6,R-HSA-418597,G alpha (z) signalling events,,-2.3,3.1,3.3,5157,10,991,6,0.61,0.25,2773|2782|5578|5588|55970|59345,GNAI3|GNB1|PRKCA|PRKCQ|GNG12|GNB4,0
Control_sites,GeDiPNet,37,GDP03853,Jeune Thoracic Dystrophy,,-2.3,3.1,3.3,5157,10,991,6,0.61,0.25,755|26146|28982|51626|57560|79811,CFAP410|TRAF3IP1|FLVCR1|DYNC2LI1|IFT80|SLTM,0
Control_sites,Canonical Pathways,11,M213,PID AR NONGENOMIC PATHWAY,,-2.3,3.1,3.3,5157,10,991,6,0.61,0.25,1385|2773|2782|5290|5594|23236,CREB1|GNAI3|GNB1|PIK3CA|MAPK1|PLCB1,0
Control_sites,GeDiPNet,37,GDP02392,Epilepsy,,-2.3,1.7,2.8,5157,67,991,22,2.2,0.47,950|1968|3192|4208|6334|6558|7248|7422|8243|9353|9734|10087|10564|11212|22884|23096|23236|23259|23271|51124|79868|116442,SCARB2|EIF2S3|HNRNPU|MEF2C|SCN8A|SLC12A2|TSC1|VEGFA|SMC1A|SLIT2|HDAC9|CERT1|ARFGEF2|PLPBP|WDR37|IQSEC2|PLCB1|DDHD2|CAMSAP2|IER3IP1|ALG13|RAB39B,0
Control_sites,KEGG Pathway,24,hsa05163,Human cytomegalovirus infection,,-2.3,1.7,2.8,5157,75,991,24,2.4,0.49,595|808|1385|1386|2768|2773|2782|5290|5532|5578|5594|6198|6654|6774|6891|7248|7422|9586|11214|23236|23365|54205|55970|59345,CCND1|CALM3|CREB1|ATF2|GNA12|GNAI3|GNB1|PIK3CA|PPP3CB|PRKCA|MAPK1|RPS6KB1|SOS1|STAT3|TAP2|TSC1|VEGFA|CREB5|AKAP13|PLCB1|ARHGEF12|CYCS|GNG12|GNB4,0
Control_sites,GO Biological Processes,19,GO:0051894,positive regulation of focal adhesion assembly,19_GO:0048518 positive regulation of biological process,-2.3,2.8,3.2,5157,13,991,7,0.71,0.27,5795|7248|7422|8829|9448|10979|342184,PTPRJ|TSC1|VEGFA|NRP1|MAP4K4|FERMT2|FMN1,0
Control_sites,GO Biological Processes,19,GO:0035051,cardiocyte differentiation,19_GO:0032502 developmental process,-2.2,2,3,5157,33,991,13,1.3,0.36,3192|4205|4208|4851|5594|6416|6474|7248|7422|10611|11214|23363|80313,HNRNPU|MEF2A|MEF2C|NOTCH1|MAPK1|MAP2K4|SHOX2|TSC1|VEGFA|PDLIM5|AKAP13|OBSL1|LRRC27,0
Control_sites,KEGG Pathway,24,hsa04728,Dopaminergic synapse,,-2.2,1.9,2.9,5157,44,991,16,1.6,0.4,808|1385|1386|2773|2782|3799|5516|5523|5532|5578|5601|9575|9586|23236|55970|59345,CALM3|CREB1|ATF2|GNAI3|GNB1|KIF5B|PPP2CB|PPP2R3A|PPP3CB|PRKCA|MAPK9|CLOCK|CREB5|PLCB1|GNG12|GNB4,0
Control_sites,GO Biological Processes,19,GO:0055007,cardiac muscle cell differentiation,19_GO:0032502 developmental process,-2.2,2.2,3,5157,26,991,11,1.1,0.33,3192|4205|4208|6416|6474|7248|7422|10611|11214|23363|80313,HNRNPU|MEF2A|MEF2C|MAP2K4|SHOX2|TSC1|VEGFA|PDLIM5|AKAP13|OBSL1|LRRC27,0
Control_sites,Canonical Pathways,11,M295,SIG PIP3 SIGNALING IN CARDIAC MYOCTES,,-2.2,2.2,3,5157,26,991,11,1.1,0.33,1385|5058|5062|5290|5728|6198|6654|7248|9221|9586|10971,CREB1|PAK1|PAK2|PIK3CA|PTEN|RPS6KB1|SOS1|TSC1|NOLC1|CREB5|YWHAQ,0
Control_sites,GO Biological Processes,19,GO:0009595,detection of biotic stimulus,19_GO:0050896 response to stimulus,-2.2,4.2,3.5,5157,5,991,4,0.4,0.2,1386|5058|5795|10413,ATF2|PAK1|PTPRJ|YAP1,0
Control_sites,GO Biological Processes,19,GO:0061298,retina vasculature development in camera-type eye,19_GO:0032502 developmental process,-2.2,4.2,3.5,5157,5,991,4,0.4,0.2,659|1282|8829|25932,BMPR2|COL4A1|NRP1|CLIC4,0
Control_sites,GO Biological Processes,19,GO:0090649,response to oxygen-glucose deprivation,19_GO:0050896 response to stimulus,-2.2,4.2,3.5,5157,5,991,4,0.4,0.2,663|664|4841|7248,BNIP2|BNIP3|NONO|TSC1,0
Control_sites,GO Biological Processes,19,GO:0060982,coronary artery morphogenesis,19_GO:0032502 developmental process,-2.2,4.2,3.5,5157,5,991,4,0.4,0.2,4851|7046|7422|8829,NOTCH1|TGFBR1|VEGFA|NRP1,0
Control_sites,GO Biological Processes,19,GO:0048639,positive regulation of developmental growth,19_GO:0040007 growth,-2.2,1.8,2.9,5157,48,991,17,1.7,0.41,32|659|1385|1946|4137|4208|4851|6198|6777|7422|8829|10413|23236|23369|27230|50618|57154,ACACB|BMPR2|CREB1|EFNA5|MAPT|MEF2C|NOTCH1|RPS6KB1|STAT5B|VEGFA|NRP1|YAP1|PLCB1|PUM2|SERP1|ITSN2|SMURF1,0
Control_sites,GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-2.2,1.4,2.7,5157,231,991,60,6.1,0.76,210|595|858|1385|1445|1601|1946|2241|2355|2782|2805|2908|2965|3033|3192|3638|4208|4644|4734|4841|4851|5272|5286|5290|5563|5573|5584|5594|6198|6272|6431|6654|6774|6777|7067|7077|7110|7248|8085|8837|9076|9353|9604|9734|9868|10413|10424|10728|10890|23236|23543|25948|27347|51719|51763|54832|55809|84706|87178|140710,ALAD|CCND1|CAV2|CREB1|CSK|DAB2|EFNA5|FER|FOSL2|GNB1|GOT1|NR3C1|GTF2H1|HADH|HNRNPU|INSIG1|MEF2C|MYO5A|NEDD4|NONO|NOTCH1|SERPINB9|PIK3C2A|PIK3CA|PRKAA2|PRKAR1A|PRKCI|MAPK1|RPS6KB1|SORT1|SRSF6|SOS1|STAT3|STAT5B|THRA|TIMP2|TMF1|TSC1|KMT2D|CFLAR|CLDN1|SLIT2|RNF14|HDAC9|TOMM70|YAP1|PGRMC2|PTGES3|RAB10|PLCB1|RBFOX2|KBTBD2|STK39|CAB39|INPP5K|VPS13C|TRERF1|GPT2|PNPT1|SOGA1,0
Control_sites,GO Biological Processes,19,GO:0018209,peptidyl-serine modification,19_GO:0008152 metabolic process,-2.2,1.6,2.8,5157,76,991,24,2.4,0.49,1452|1456|1457|2590|4139|5062|5578|5584|5588|5594|5601|6198|6733|7046|8445|8658|9641|9874|27347|51719|53944|55872|65125|204851,CSNK1A1|CSNK1G3|CSNK2A1|GALNT2|MARK1|PAK2|PRKCA|PRKCI|PRKCQ|MAPK1|MAPK9|RPS6KB1|SRPK2|TGFBR1|DYRK2|TNKS|IKBKE|TLK1|STK39|CAB39|CSNK1G1|PBK|WNK1|HIPK1,0
Control_sites,GO Biological Processes,19,GO:0018105,peptidyl-serine phosphorylation,19_GO:0008152 metabolic process,-2.2,1.7,2.8,5157,72,991,23,2.3,0.48,1452|1456|1457|4139|5062|5578|5584|5588|5594|5601|6198|6733|7046|8445|8658|9641|9874|27347|51719|53944|55872|65125|204851,CSNK1A1|CSNK1G3|CSNK2A1|MARK1|PAK2|PRKCA|PRKCI|PRKCQ|MAPK1|MAPK9|RPS6KB1|SRPK2|TGFBR1|DYRK2|TNKS|IKBKE|TLK1|STK39|CAB39|CSNK1G1|PBK|WNK1|HIPK1,0
Control_sites,Reactome Gene Sets,6,R-HSA-9009391,Extra-nuclear estrogen signaling,,-2.2,2.1,2.9,5157,30,991,12,1.2,0.35,595|808|858|1385|2773|2782|5290|5594|6801|7514|55970|59345,CCND1|CALM3|CAV2|CREB1|GNAI3|GNB1|PIK3CA|MAPK1|STRN|XPO1|GNG12|GNB4,0
Control_sites,GO Biological Processes,19,GO:1903034,regulation of response to wounding,19_GO:0050896 response to stimulus,-2.2,1.9,2.8,5157,41,991,15,1.5,0.39,4756|5054|5154|5728|6431|6558|6774|8573|9076|9860|10565|10979|23369|84959|135228,NEO1|SERPINE1|PDGFA|PTEN|SRSF6|SLC12A2|STAT3|CASK|CLDN1|LRIG2|ARFGEF1|FERMT2|PUM2|UBASH3B|CD109,0
Control_sites,GO Biological Processes,19,GO:0090259,regulation of retinal ganglion cell axon guidance,19_GO:0040011 locomotion,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,7422|8829|9353,VEGFA|NRP1|SLIT2,0
Control_sites,GeDiPNet,37,GDP03466,Hypopharyngeal Carcinoma,,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,3621|5728|8795,ING1|PTEN|TNFRSF10B,0
Control_sites,Reactome Gene Sets,6,R-HSA-8935964,RUNX1 regulates expression of components of tight junctions,,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,861|865|7082,RUNX1|CBFB|TJP1,0
Control_sites,GeDiPNet,37,GDP06394,Salivary Gland Carcinoma,,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,3621|5728|8795,ING1|PTEN|TNFRSF10B,0
Control_sites,WikiPathways,27,WP3302,eIF5A regulation in response to inhibition of the nuclear export system,,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,7514|10642|64328,XPO1|IGF2BP1|XPO4,0
Control_sites,GO Biological Processes,19,GO:0032025,response to cobalt ion,19_GO:0050896 response to stimulus,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,210|466|664,ALAD|ATF1|BNIP3,0
Control_sites,GeDiPNet,37,GDP04135,Lip Carcinoma,,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,3621|5728|8795,ING1|PTEN|TNFRSF10B,0
Control_sites,GO Biological Processes,19,GO:0061299,retina vasculature morphogenesis in camera-type eye,19_GO:0032502 developmental process,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,1282|8829|25932,COL4A1|NRP1|CLIC4,0
Control_sites,GeDiPNet,37,GDP01041,Carcinoma of the oral cavity,,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,3621|5728|8795,ING1|PTEN|TNFRSF10B,0
Control_sites,GO Biological Processes,19,GO:0060242,contact inhibition,19_GO:0050896 response to stimulus,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,5058|5795|10413,PAK1|PTPRJ|YAP1,0
Control_sites,GO Biological Processes,19,GO:0000957,mitochondrial RNA catabolic process,19_GO:0008152 metabolic process,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,10128|87178|201626,LRPPRC|PNPT1|PDE12,0
Control_sites,GeDiPNet,37,GDP01670,Congenital macrodactylia,,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,5290|5728|7248,PIK3CA|PTEN|TSC1,0
Control_sites,GO Biological Processes,19,GO:0071211,protein targeting to vacuole involved in autophagy,19_GO:0051179 localization,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,3920|8878|57154,LAMP2|SQSTM1|SMURF1,0
Control_sites,GeDiPNet,37,GDP01039,Carcinoma of Lip,,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,3621|5728|8795,ING1|PTEN|TNFRSF10B,0
Control_sites,GeDiPNet,37,GDP00865,Bowen`s Disease,,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,595|4899|7019,CCND1|NRF1|TFAM,0
Control_sites,GO Biological Processes,19,GO:0048842,positive regulation of axon extension involved in axon guidance,19_GO:0040011 locomotion,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,659|7422|8829,BMPR2|VEGFA|NRP1,0
Control_sites,GeDiPNet,37,GDP01040,Carcinoma of the nasal cavity and paranasal sinuses,,-2.2,5.2,3.6,5157,3,991,3,0.3,0.17,3621|5728|8795,ING1|PTEN|TNFRSF10B,0
Control_sites,GeDiPNet,37,GDP05984,Promyelocytic Leukemia,,-2.1,2.3,2.9,5157,20,991,9,0.91,0.3,1788|5573|6774|6777|8243|64778|64859|79718|171023,DNMT3A|PRKAR1A|STAT3|STAT5B|SMC1A|FNDC3B|NABP1|TBL1XR1|ASXL1,0
Control_sites,KEGG Pathway,24,hsa04713,Circadian entrainment,,-2.1,2.3,2.9,5157,20,991,9,0.91,0.3,808|1385|2773|2782|5578|5594|23236|55970|59345,CALM3|CREB1|GNAI3|GNB1|PRKCA|MAPK1|PLCB1|GNG12|GNB4,0
